wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk,"[1.3832773, 1.4517535, 1.4593946, 0.84702057, 1.5396943, 1.4493445, 1.2271315, 1.0883329, 1.4306325, 1.3940501, 1.6327031, 1.7095605, 1.1897092, 0.80511212, 1.4219176, 1.2631695]"
wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk,"[0.60145015, 1.5634457, 1.2751157, 1.501025, 1.4331272, 1.1444985, 1.4303021, 0.9986468, 1.4800664, 1.2221314, 1.1568114, 1.5012873, 1.4349203, 1.1776874, 1.4171847, 1.6810198]"
wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk,"[1.498806, 1.175297, 0.47578469, 1.1887887, 1.4967163, 1.2621044, 1.1650712, 1.3347436, 0.57980257, 1.3678354, 1.1655228, 1.5972348, 1.1986163, 1.0687035, 1.1581248, 1.0355567]"
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk,"[1.360949, 1.4741654, 1.2850637, 1.6542389, 1.5827707, 0.61127478, 1.5562094, 0.71435648, 0.68571466, 1.5130697, 1.3252017, 1.6561219, 1.5228633, 1.1604779, 1.6659628, 1.410573]"
wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk,"[1.628356, 1.1723471, 1.7477542, 1.7006097, 1.7886029, 1.3993207, 0.95459747, 1.6234378, 1.5984521, 1.7215548, 1.246816, 0.88341814, 1.222949, 1.6909124, 1.6366802, 0.98245656]"
wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk,"[1.5898472, 1.5650181, 1.4789729, 1.5398487, 1.6188029, 1.1778787, 0.99586695, 1.3087522, 0.84906554, 1.2369787, 0.83584166, 1.6367589, 1.6827605, 0.88223058, 1.7060922, 1.4704964]"
wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk,"[0.71140295, 1.5072968, 1.7226077, 1.6606485, 1.4088395, 1.2314054, 1.5676033, 1.4933493, 1.5216136, 1.6259444, 0.88608831, 1.5695145, 1.3439397, 1.4447434, 1.139172, 1.1567833]"
wgEncodeAwgTfbsHaibGm12878Nfatc1sc17834V0422111UniPk,"[1.6817282, 0.96083909, 0.64899772, 1.3483413, 1.442659, 1.7001266, 1.2311612, 1.5932809, 1.3895657, 1.7529037, 1.7467279, 1.3159176, 0.67133039, 1.7995239, 1.4187034, 1.6113755]"
wgEncodeAwgTfbsHaibGm12878Nficsc81335V0422111UniPk,"[0.39886498, 1.5419786, 1.5162085, 1.4931494, 1.5294602, 1.5224252, 1.7103885, 1.3941165, 0.93534499, 1.491771, 1.453586, 1.393487, 0.56170797, 1.3085915, 1.3747917, 0.95683891]"
wgEncodeAwgTfbsHaibGm12878NrsfPcr1xUniPk,"[1.5078403, 1.5869741, 1.1942672, 0.84306055, 1.7196, 1.4049448, 1.3798757, 1.3806746, 1.308604, 1.4802566, 0.92398393, 1.089209, 1.4557468, 1.7279893, 1.5442517, 1.5734057]"
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk,"[1.6854309, 1.398275, 0.83010429, 1.6067984, 1.4169022, 1.8044996, 1.6174896, 1.3975908, 1.4514346, 1.1566371, 1.5319699, 1.4689682, 1.359622, 1.5074505, 0.8040064, 1.3326178]"
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk,"[1.5600498, 1.6715044, 1.5707121, 1.0014497, 1.3107675, 0.97686142, 1.563369, 1.4502918, 1.7070777, 1.2905787, 1.3712238, 1.2630148, 1.5701835, 1.4021742, 1.3927268, 1.0787958]"
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk,"[1.5034893, 1.5386498, 1.6136441, 1.2071759, 1.3965576, 1.53668, 0.8143338, 1.7458835, 1.5910258, 1.6948135, 0.61522806, 1.5521762, 1.4852823, 1.330469, 1.3998613, 1.7101139]"
wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk,"[1.4414238, 1.5095356, 0.8469426, 1.3948355, 1.4056125, 0.91644788, 1.184971, 1.6471006, 1.6126761, 1.1603185, 1.6223145, 1.1640425, 0.8569262, 1.383108, 0.87094903, 1.0161104]"
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk,"[1.5997499, 1.4700624, 1.2230985, 1.3880376, 1.4244608, 0.82988083, 0.7778486, 1.5266739, 1.2986358, 1.5045198, 1.5466135, 0.67056501, 1.4745685, 1.4626285, 1.5665113, 1.7677317]"
wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk,"[1.4149553, 1.4408288, 1.4268277, 1.5076364, 1.7668625, 1.3474463, 1.6085221, 1.1064171, 1.4877957, 1.5333019, 1.6183252, 1.4331424, 1.6477047, 1.5653644, 1.3238372, 1.5874083]"
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk,"[1.2495084, 1.2154616, 1.4157376, 1.3404089, 0.57170129, 1.3153876, 1.1801972, 1.4333647, 1.0599588, 1.0965284, 1.2931737, 1.0768944, 0.66467196, 1.3840306, 1.3596851, 1.3788476]"
wgEncodeAwgTfbsHaibGm12878SrfPcr2xUniPk,"[1.2384849, 1.7610828, 1.5610968, 1.5818866, 1.6376507, 1.5280213, 1.4786125, 1.7329298, 0.97986257, 1.423725, 1.5751224, 1.2995206, 1.9371152, 1.4146109, 1.316371, 1.1650212]"
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk,"[1.3083135, 0.69127047, 1.4267811, 0.91476011, 1.6550854, 1.3161325, 1.6430315, 1.7640375, 1.3976429, 1.4343443, 1.4865528, 0.75269049, 1.7222928, 1.451785, 1.4006499, 0.47180417]"
wgEncodeAwgTfbsHaibGm12878Tcf12Pcr1xUniPk,"[1.3706405, 1.4954089, 0.52928752, 1.494917, 1.565763, 1.2978201, 1.4160593, 1.3944702, 1.3935552, 1.5387915, 0.50895876, 0.91040659, 1.4700493, 1.6274408, 1.5106763, 1.3386548]"
wgEncodeAwgTfbsHaibGm12878Tcf3Pcr1xUniPk,"[0.53235793, 1.7220432, 0.48968947, 1.6494342, 1.4130284, 1.6440288, 1.445441, 1.5821837, 1.8728026, 1.2964654, 1.6822504, 1.3746355, 1.6323631, 1.5189606, 1.4041158, 1.3796121]"
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk,"[1.7503877, 1.5412674, 1.6594329, 1.5513263, 1.1394248, 1.3650045, 1.5846071, 1.4231012, 0.73290849, 0.82819849, 1.4791397, 1.027909, 1.5624859, 1.5996143, 1.5481485, 1.602466]"
wgEncodeAwgTfbsHaibGm12878Yy1sc281Pcr1xUniPk,"[1.554827, 1.6036124, 1.6415422, 0.57102907, 1.6125695, 1.5133536, 1.4635839, 1.5096502, 1.3755908, 0.84776807, 1.6024923, 1.1478395, 0.98952758, 0.69067866, 1.6048905, 1.595264]"
